generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,5.95104,-2691.02,1,0
10000,0,6.49411,-2601.81,0.35711,0.324568
20000,0,6.52008,-2601.58,0.283058,0.328584
30000,0,5.94702,-2601.24,0.634188,0.3135
40000,0,6.36433,-2598.49,0.012381,0.3413
50000,1,10.9443,-2587.51,1.19647,0.3414
60000,2,16.5388,-2581.52,2.18164,0.36252
70000,1,9.97242,-2577.88,0.523328,0.43795
80000,1,8.19988,-2577,1.25356,0.385
90000,1,11.8175,-2587.96,0.273159,0.443667
100000,1,11.9494,-2590.45,0.0698785,0.4266
110000,3,20.4195,-2587.77,4.1052,0.4626
120000,2,13.0564,-2566.63,0.570659,0.352625
130000,2,11.0638,-2565.69,2.29104,0.3848
140000,3,18.9596,-2559.34,2.4296,0.4115
150000,3,21.254,-2556.83,1.28407,0.4091
160000,4,25.8292,-2568.84,0.512148,0.3871
170000,2,11.895,-2564.84,1.82357,0.3913
180000,3,21.6769,-2584.33,0.675358,0.325115
190000,1,10.3497,-2589.37,1.9639,0.356212
200000,4,22.3647,-2554.46,3.73062,0.4049
210000,4,21.0417,-2554.68,3.11333,0.4134
220000,6,32.4265,-2556.38,4.00951,0.4117
230000,4,21.2147,-2553.6,3.7198,0.4042
240000,6,34.4241,-2540.76,2.12237,0.4328
250000,5,28.7343,-2549,4.5837,0.4298
260000,4,22.3124,-2558.2,3.01057,0.4045
270000,3,9.60016,-2564.43,2.94563,0.3938
280000,4,23.3039,-2548.13,2.41377,0.4109
290000,4,21.952,-2545.2,1.95409,0.4173
300000,4,19.4479,-2551.42,3.70056,0.3948
310000,3,16.6348,-2555.84,2.35746,0.3905
320000,4,20.8937,-2549.79,3.36726,0.4006
330000,5,30.3701,-2546.7,2.08848,0.4205
340000,7,34.9024,-2542.58,4.57001,0.4239
350000,5,28.711,-2543.17,1.89246,0.4125
360000,5,23.2484,-2546.47,5.42473,0.4137
370000,3,15.7873,-2559.53,0.944603,0.4157
380000,2,11.917,-2559.63,1.35566,0.4015
390000,2,11.5715,-2561.34,0.258732,0.3802
400000,2,9.62286,-2570.35,0.79206,0.373
410000,3,14.8039,-2559.04,1.69406,0.3855
420000,6,30.8793,-2545,2.29149,0.3997
430000,5,25.5426,-2546.43,1.77927,0.4307
440000,5,23.4935,-2547.24,4.54869,0.4394
450000,4,20.5252,-2547.91,1.20995,0.4214
460000,5,27.7003,-2554.32,1.26953,0.4198
470000,5,23.5218,-2552.55,5.62906,0.416
480000,2,12.0948,-2568.01,1.8401,0.353138
490000,3,16.4761,-2561.27,1.56364,0.3843
500000,6,35.2619,-2563.26,1.80584,0.4149
510000,4,23.0087,-2554.19,2.05038,0.4092
520000,5,27.9452,-2549,4.97002,0.4264
530000,4,24.1219,-2557.62,1.27395,0.4205
540000,5,25.867,-2552.22,2.27876,0.4002
550000,6,34.8862,-2546.13,3.97781,0.4062
560000,4,21.7068,-2552.27,2.11656,0.3977
570000,4,22.5922,-2555.53,2.86912,0.4033
580000,2,13.8028,-2565.75,0.575278,0.400944
590000,4,17.0123,-2558.21,4.31845,0.41505
600000,4,22.4443,-2553.74,2.96497,0.4057
610000,3,18.0173,-2561.2,1.05208,0.4137
620000,3,15.8585,-2552.61,3.16966,0.3839
630000,4,22.5545,-2557.47,1.95468,0.4002
640000,2,13.6012,-2563.02,0.742597,0.366883
650000,3,18.32,-2551.89,1.45596,0.4037
660000,3,18.4472,-2558.93,1.4977,0.3997
670000,4,19.1136,-2548.67,1.92514,0.4141
680000,4,21.189,-2547.91,2.17846,0.4154
690000,3,17.4713,-2559.41,1.65572,0.4137
700000,3,14.129,-2561.65,2.02964,0.3807
710000,3,18.5264,-2565.29,0.80538,0.4058
720000,4,24.4063,-2546.73,3.90104,0.329253
730000,4,23.9777,-2553.46,3.34975,0.4179
740000,1,7.10021,-2579.97,0.146742,0.38728
750000,1,8.30739,-2574.38,0.336171,0.37835
760000,2,13.4316,-2565.35,0.952037,0.3762
770000,3,15.8587,-2556.91,1.98615,0.4153
780000,4,23.2993,-2549.45,2.89543,0.4074
790000,4,20.796,-2549.43,2.6069,0.419
800000,2,12.6901,-2567.15,0.422966,0.347633
810000,4,21.7901,-2567.54,2.48633,0.4137
820000,3,15.4454,-2555.43,1.78138,0.3874
830000,3,18.5188,-2559.98,0.810254,0.3858
840000,1,7.36375,-2574.62,0.163972,0.363969
850000,3,17.9938,-2558.63,2.83277,0.4007
860000,3,17.8078,-2556.27,3.19093,0.4091
870000,2,9.11332,-2569.4,4.25349,0.3937
880000,3,17.8972,-2568.14,2.56241,0.358075
890000,2,12.8546,-2568.77,1.35217,0.38495
900000,2,7.92991,-2575.42,0.906626,0.3577
910000,1,4.23256,-2576.37,3.12285,0.3151
920000,1,5.99604,-2575.09,0.541875,0.343587
930000,2,11.7813,-2572.37,0.1644,0.3562
940000,2,9.86196,-2563.81,1.09286,0.33935
950000,4,19.2981,-2549.48,2.61384,0.4129
960000,5,27.1179,-2551.03,2.63004,0.4085
970000,7,33.7584,-2547.53,3.42645,0.4145
980000,6,22.817,-2539.2,7.06555,0.4097
990000,5,18.1542,-2538.42,3.54065,0.4074
1000000,5,26.4628,-2540.23,3.35963,0.3999
1010000,5,29.8392,-2542.97,0.829911,0.3903
1020000,7,38.379,-2542.02,3.18161,0.4
1030000,5,25.383,-2539.99,2.74855,0.3886
1040000,5,29.4278,-2541.8,1.8073,0.3949
1050000,5,21.4325,-2545.17,3.81422,0.3952
1060000,5,23.0339,-2538.74,4.09667,0.4
1070000,3,13.6656,-2557.99,0.988223,0.3845
1080000,5,22.7655,-2555.65,1.39477,0.3706
1090000,6,33.2292,-2533.91,1.78907,0.4199
1100000,7,30.632,-2528.8,6.80003,0.4116
1110000,9,41.7711,-2534.78,5.48885,0.405
1120000,7,31.9634,-2527.11,9.01351,0.4059
1130000,6,29.1046,-2532.47,2.1252,0.4066
1140000,8,38.1272,-2548.75,6.54656,0.4144
1150000,5,25.715,-2541.8,1.58944,0.4111
1160000,5,20.0998,-2536.08,3.20438,0.4073
1170000,4,19.8299,-2544.08,2.2706,0.4128
1180000,7,40.3328,-2544.22,3.7745,0.3978
1190000,5,28.3447,-2553.95,2.37387,0.417
1200000,7,36.6389,-2546.64,4.54132,0.4221
1210000,5,23.6201,-2545.18,3.26004,0.415
1220000,5,27.2417,-2549.44,3.3968,0.4119
1230000,5,28.3611,-2540.44,1.64563,0.4058
1240000,5,27.3042,-2545.33,2.56574,0.4132
1250000,4,21.3154,-2550.97,3.42181,0.4123
1260000,6,20.9956,-2535.73,4.7087,0.4061
1270000,7,36.4409,-2539.14,4.25325,0.4025
1280000,6,30.0711,-2541.67,4.19778,0.4137
1290000,4,17.7557,-2546.36,2.16214,0.3962
1300000,5,28.7461,-2548.88,2.38539,0.4089
1310000,4,16.7719,-2549.11,3.75315,0.4049
1320000,5,29.0075,-2545.64,2.80127,0.3886
1330000,5,22.7675,-2542.91,2.37614,0.4056
1340000,5,16.5386,-2550.51,4.47208,0.4147
1350000,4,22.2075,-2548.23,2.91155,0.4106
1360000,4,24.1008,-2550.58,2.31753,0.4324
1370000,3,17.1391,-2560.55,2.63048,0.4176
1380000,3,21.1711,-2561.5,1.34152,0.362081
1390000,3,12.7045,-2551.53,1.72559,0.4159
1400000,4,24.4925,-2551.03,1.23843,0.4145
1410000,5,28.1352,-2551.46,2.21483,0.4173
1420000,4,19.9929,-2547.2,1.26628,0.4253
1430000,5,25.0843,-2543.79,2.79919,0.4133
1440000,4,21.0306,-2545.79,1.74509,0.4061
1450000,4,18.9407,-2550.95,2.67186,0.337047
1460000,6,29.3734,-2543.8,1.17804,0.39495
1470000,5,23.6525,-2549.93,1.70826,0.392
1480000,3,15.6507,-2555.38,2.85236,0.4221
1490000,4,23.5772,-2558.06,1.40631,0.377608
1500000,3,21.0926,-2567.27,2.10186,0.4118
1510000,4,26.2989,-2550.44,2.26175,0.4209
1520000,4,17.4488,-2560.94,2.69247,0.4071
1530000,3,19.1069,-2567.63,1.8778,0.4292
1540000,2,9.17356,-2562.61,4.56343,0.367533
1550000,2,12.1382,-2563.65,1.42703,0.361337
1560000,4,22.1057,-2558.02,3.04737,0.40935
1570000,5,28.0176,-2550.96,2.6024,0.4311
1580000,5,25.3762,-2534.38,2.79609,0.4245
1590000,5,24.6847,-2544.75,2.25781,0.4008
1600000,4,19.1013,-2546.02,4.50614,0.4253
1610000,5,25.515,-2548.67,5.15149,0.4122
1620000,6,31.3917,-2545.13,2.90755,0.4163
