Order,Family,Binomial,AdultBodyMass_g,GestationLen_d,HomeRange_km2,MaxLongevity_m,SocialGroupSize,SocialStatus
Primates,Atelidae,Ateles belzebuth,6692.42,138.2,2.28,336,14.5,2
Primates,Atelidae,Ateles geoffroyi,7582.4,226.37,0.73,327.6,42,2
Primates,Atelidae,Ateles paniscus,8697.25,228.18,1.36,453.6,20,2
Primates,Pitheciidae,Callicebus moloch,958.13,164,0.02,303.6,2.95,2
Primates,Cebidae,Callimico goeldii,558,153.99,0.32,214.8,6.85,2
Primates,Cebidae,Callithrix jacchus,290.21,144,0.02,201.6,8.55,2
Primates,Cebidae,Callithrix pygmaea,123.94,134.44,0.00212,181.2,6,2
Primates,Cercopithecidae,Cercocebus galeritus,7077.66,174.43,0.51,252,20.35,2
Primates,Cercopithecidae,Cercopithecus ascanius,3540.24,148.5,0.16,339.6,26.3,2
Primates,Cercopithecidae,Cercopithecus cephus,3444.88,169.51,0.24,276,11,2
Primates,Cercopithecidae,Cercopithecus mitis,5041.29,138.39,0.1,325.2,16,2
Primates,Cercopithecidae,Cercopithecus neglectus,5324.52,172.07,0.06,315.6,4.5,2
Primates,Cercopithecidae,Cercopithecus nictitans,5256.91,169.51,1.15,276,16,2
Primates,Cercopithecidae,Erythrocebus patas,7966.3,167.2,28.24,286.8,28,2
Primates,Atelidae,Lagothrix lagotricha,6263.69,223.99,2.82,360,33,2
Primates,Lemuridae,Eulemur coronatus,1699.85,124.04,0.05,220.8,6.95,2
Primates,Lemuridae,Eulemur fulvus,2376.99,120.83,0.05,444,9.15,2
Primates,Lemuridae,Eulemur mongoz,1771.13,129,0.05,360,2.7,2
Primates,Cebidae,Cebus albifrons,2509.68,158.29,0.53,528,25,2
Primates,Cebidae,Cebus apella,2758.38,154.99,0.88,541.2,7.9,2
Primates,Cebidae,Cebus capucinus,3005.99,161.06,0.35,657.6,18.15,2
Primates,Cheirogaleidae,Cheirogaleus major,446.02,70,0.02,180,1,1
Primates,Cheirogaleidae,Cheirogaleus medius,196.76,61.79,0.02,231.6,1,1
Primates,Cercopithecidae,Colobus guereza,9925.88,169.02,0.17,294,7.6,2
Primates,Cercopithecidae,Colobus polykomos,8797.29,172.69,0.14,366,10.2,2
Primates,Daubentoniidae,Daubentonia madagascariensis,2731.37,166.48,0.06,291.6,1,1
Primates,Galagidae,Galago alleni,266.03,133,0.18,144,6,2
Primates,Galagidae,Galago demidoff,66.04,111,0.01,168,5.5,2
Primates,Galagidae,Galago moholi,191.96,122.29,0.04,198,1,1
Primates,Galagidae,Galago senegalensis,215.2,126.98,0.08,204,3.5,2
Primates,Hylobatidae,Hylobates lar,5578.61,212.91,0.32,480,3.2,2
Primates,Hylobatidae,Hylobates pileatus,5542.37,200.16,0.23,432,3.25,2
Primates,Cercopithecidae,Miopithecus talapoin,1248.86,164.38,0.8,370.8,91.2,2
Primates,Cheirogaleidae,Mirza coquereli,326.5,88.58,0.03,183.6,1,1
Primates,Lemuridae,Lemur catta,2626.48,134.74,0.05,360,16.45,2
Primates,Cebidae,Leontopithecus rosalia,592.52,134,0.26,297.6,4.5,2
Primates,Lepilemuridae,Lepilemur leucopus,599.99,135.92,0.002,103,1,1
Primates,Lepilemuridae,Lepilemur mustelinus,669.03,133.45,0.00273,144,1,1
Primates,Cercopithecidae,Lophocebus albigena,7418.71,182.64,1.98,392.4,16,2
Primates,Lorisidae,Loris tardigradus,249.22,165.99,0.00706,196.8,1,1
Primates,Cercopithecidae,Macaca fascicularis,4569.32,164.69,0.46,456,27,2
Primates,Cercopithecidae,Macaca fuscata,10114.76,172.99,1.43,396,40.65,2
Primates,Cercopithecidae,Macaca mulatta,6455.19,166.07,5.91,432,38.5,2
Primates,Cercopithecidae,Macaca nemestrina,7820.78,171,1.75,411.6,22.6,2
Primates,Cercopithecidae,Macaca radiata,4999.99,161.56,0.88,360,33.5,2
Primates,Cercopithecidae,Macaca silenus,5995.25,172,0.88,480,21,2
Primates,Cercopithecidae,Macaca sinica,4655.99,180.9,0.4,420,20.1,2
Primates,Cercopithecidae,Macaca sylvanus,11471.53,164.84,2.63,264,18.3,2
Primates,Cercopithecidae,Mandrillus sphinx,16685.06,173.99,26.34,555.96,13.9,2
Primates,Cheirogaleidae,Microcebus murinus,69,60.34,0.01,186,1,1
Primates,Cheirogaleidae,Microcebus rufus,48.39,59.99,0.01,144,1,1
Primates,Cercopithecidae,Nasalis larvatus,12265.65,165.04,1.4,252,11.25,2
Primates,Hylobatidae,Nomascus concolor,6410.47,205.81,1.05,529.2,4,2
Primates,Galagidae,Otolemur crassicaudatus,1206.61,131.04,0.06,225.6,3.5,2
Primates,Galagidae,Otolemur garnettii,811.17,132.24,0.12,204,1,1
Primates,Hominidae,Pan paniscus,35119.95,235.24,27.93,576,85,2
Primates,Cercopithecidae,Papio anubis,17728.56,178.96,4.83,302.4,40,2
Primates,Cercopithecidae,Papio cynocephalus,15822.15,172.99,14.95,540,48.2,2
Primates,Cercopithecidae,Papio hamadryas,14007.08,180,17.37,450,36.9,2
Primates,Cercopithecidae,Papio ursinus,17729.44,185.92,9.12,540,47,2
Primates,Lorisidae,Perodicticus potto,1081.81,193,0.11,312,1,1
Primates,Lemuridae,Prolemur simus,2030.41,140,0.62,144,7.5,2
Primates,Indriidae,Propithecus verreauxi,3588.26,149.77,0.03,247.2,6.3,2
Primates,Cebidae,Saguinus fuscicollis,393.99,148,0.2,294,6,2
Primates,Cebidae,Saguinus midas,540.56,138.24,0.05,184.8,5.55,2
Primates,Cebidae,Saguinus oedipus,462.04,166.49,0.06,277.2,7.05,2
Primates,Cebidae,Saimiri sciureus,749.47,164.09,0.68,324,34.85,2
Primates,Cercopithecidae,Semnopithecus entellus,12679.29,197.7,1.3,300,19,2
Primates,Tarsiidae,Tarsius bancanus,114.39,125.84,0.01,144,1,1
Primates,Hylobatidae,Symphalangus syndactylus,10839,230.66,0.22,456,3.8,2
