Binomial,Family,Genus,tiplabel,Adult_habitat,Life_history,Sex_dichromatism,SVL,mass,rootmass,eyesize
Mixophyes_fasciolatus,Myobatrachidae,Mixophyes,Mixophyes_fasciolatus_Myobatrachidae,Ground-dwelling,Free-living larvae,Absent,49.93333333,15,2.25992105,7.683333333
Myobatrachus_gouldii,Myobatrachidae,Myobatrachus,Myobatrachus_gouldii_Myobatrachidae,Fossorial,No free-living larvae,Absent,39.1,7.5,1.918947945,3.35
Uperoleia_laevigata,Myobatrachidae,Uperoleia,Uperoleia_laevigata_Myobatrachidae,Ground-dwelling,NA,NA,21.25,1.25,1.064980263,2.6125
Nasikabatrachus_sahyadrensis,Nasikabatrachidae,Nasikabatrachus,Nasikabatrachus_sahyadrensis_Nasikabatrachidae,Fossorial,Free-living larvae,Absent,72.575,72.5,3.906165647,2.175
Nyctibatrachus_humayuni,Nyctibatrachidae,Nyctibatrachus,Nyctibatrachus_humayuni_Nyctibatrachidae,Semiaquatic,Free-living larvae,Absent,43.76666667,10.43333333,2.148449693,6.1
Odontobatrachus_natator,Odontobatrachidae,Odontobatrachus,Odontobatrachus_natator_Odontobatrachidae,Semiaquatic,Free-living larvae,Absent,52.98333333,14.22333333,2.412096187,7.18
Odontophrynus_americanus,Odontophrynidae,Odontophrynus,Odontophrynus_americanus_Odontophrynidae,Ground-dwelling,Free-living larvae,Absent,47.43333333,14.06666667,2.407234046,6.733333333
Proceratophrys_boiei,Odontophrynidae,Proceratophrys,Proceratophrys_boiei_Odontophrynidae,Subfossorial,Free-living larvae,Absent,58.56666667,19.26666667,2.662206948,8.566666667
Pelobates_cultripes,Pelobatidae,Pelobates,Pelobates_cultripes_Pelobatidae,Fossorial,Free-living larvae,Absent,75.63333333,60.33333333,3.879772254,11.21666667
Pelobates_syriacus,Pelobatidae,Pelobates,Pelobates_syriacus_Pelobatidae,Fossorial,Free-living larvae,Absent,65.35,34.2,3.031555734,7.7
Nyctimystes_kubori,Pelodryadidae,Nyctimystes,Nyctimystes_kubori_Hylidae,Scansorial,Free-living larvae,NA,44.8,7.666666667,1.923762194,6.5
Nyctimystes_papua,Pelodryadidae,Nyctimystes,Nyctimystes_papua_Hylidae,Scansorial,NA,NA,49.3,5.6,1.772377422,6.45
Ranoidea_caerulea,Pelodryadidae,Ranoidea,Litoria_caerulea_Hylidae,Scansorial,Free-living larvae,NA,81.73333333,30.93333333,3.128690665,7.766666667
Ranoidea_platycephala,Pelodryadidae,Ranoidea,Ranoidea_platycephala_Hylidae,Ground-dwelling,Free-living larvae,Absent,51.23333333,16.33333333,2.524479916,6.333333333
Pelodytes_punctatus,Pelodytidae,Pelodytes,Pelodytes_punctatus_Pelodytidae,Ground-dwelling,Free-living larvae,Absent,35.64,4.4,1.584872749,4.41
Petropedetes_parkeri,Petropedetidae,Petropedetes,Petropedetes_parkeri_Petropedetidae,Scansorial,Free-living larvae,Absent,53.36666667,14.46666667,2.39220799,7.266666667
Phrynobatrachus_krefftii,Phrynobatrachidae,Phrynobatrachus,Phrynobatrachus_krefftii_Phrynobatrachidae,Semiaquatic,Free-living larvae,Absent,30.66666667,3.2,1.472650077,4.683333333
Phrynobatrachus_natalensis,Phrynobatrachidae,Phrynobatrachus,Phrynobatrachus_natalensis_Phrynobatrachidae,Ground-dwelling,Free-living larvae,Present,26.93333333,2.4,1.337691406,3.7
Agalychnis_dacnicolor,Phyllomedusidae,Agalychnis,Agalychnis_dacnicolor_Hylidae,Scansorial,Free-living larvae,Absent,80.86666667,22.03333333,2.784048657,8.7
Cruziohyla_calcarifer,Phyllomedusidae,Cruziohyla,Cruziohyla_calcarifer_Hylidae,Scansorial,Free-living larvae,Absent,64.2,12.4,2.314589055,8.5
Pithecopus_hypochondrialis,Phyllomedusidae,Pithecopus,Phyllomedusa_hypochondrialis_Hylidae,Scansorial,Free-living larvae,NA,41.53333333,2.766666667,1.392540203,5.316666667
Hymenochirus_boettgeri,Pipidae,Hymenochirus,Hymenochirus_boettgeri_Pipidae,Aquatic,Free-living larvae,Absent,32.875,2.75,1.39666744,1.7125
Pipa_carvalhoi,Pipidae,Pipa,Pipa_carvalhoi_Pipidae,Aquatic,Free-living larvae,Absent,46.675,11,2.1878757,2.75
Pipa_pipa,Pipidae,Pipa,Pipa_pipa_Pipidae,Aquatic,No free-living larvae,Absent,118.7666667,174.3333333,5.53625717,3.7
Pseudhymenochirus_merlini,Pipidae,Pseudhymenochirus,Pseudhymenochirus_merlini_Pipidae,Aquatic,Free-living larvae,Absent,43.225,6.5,1.862192374,3.4125
Xenopus_fraseri,Pipidae,Xenopus,Xenopus_fraseri_Pipidae,Aquatic,Free-living larvae,Absent,47.83333333,10.33333333,2.174648999,3.266666667
Xenopus_tropicalis,Pipidae,Xenopus,Xenopus_tropicalis_Pipidae,Aquatic,Free-living larvae,Absent,28.7,3.666666667,1.506430404,1.916666667
Ptychadena_mascareniensis,Ptychadenidae,Ptychadena,Ptychadena_mascareniensis_Ptychadenidae,Ground-dwelling,Free-living larvae,Absent,48.43333333,12.03333333,2.278751543,5.833333333
Ptychadena_oxyrhynchus,Ptychadenidae,Ptychadena,Ptychadena_oxyrhynchus_Ptychadenidae,Ground-dwelling,Free-living larvae,Absent,57.8,20.7,2.728954676,7.35
Amietia_angolensis,Pyxicephalidae,Amietia,Amietia_angolensis_Pyxicephalidae,Semiaquatic,Free-living larvae,Absent,72.2,33.16666667,3.211670375,8.766666667
Aubria_subsigillata,Pyxicephalidae,Aubria,Aubria_subsigillata_Pyxicephalidae,Aquatic,Free-living larvae,Absent,89.26666667,63.66666667,3.894176798,10.65
Pyxicephalus_edulis,Pyxicephalidae,Pyxicephalus,Pyxicephalus_edulis_Pyxicephalidae,Ground-dwelling,Free-living larvae,Present,58.5,22.03333333,2.679885384,7.633333333
Strongylopus_grayii,Pyxicephalidae,Strongylopus,Strongylopus_grayii_Pyxicephalidae,Ground-dwelling,Free-living larvae,Absent,26.6,2.4,1.32517855,3.5
Amolops_ricketti,Ranidae,Amolops,Amolops_ricketti_Ranidae,Semiaquatic,Free-living larvae,Absent,50.96666667,11.93333333,2.277883935,7.05
Lithobates_berlandieri,Ranidae,Lithobates,Rana_berlandieri_Ranidae,Semiaquatic,Free-living larvae,Absent,63.6,22.6,2.827185869,7.8
Lithobates_catesbeianus,Ranidae,Lithobates,Rana_catesbeiana_Ranidae,Semiaquatic,Free-living larvae,Absent,119.55,193,5.769829129,14.475
Lithobates_pipiens,Ranidae,Lithobates,Rana_pipiens_Ranidae,Semiaquatic,Free-living larvae,Absent,57.3,20.96666667,2.756953837,7.083333333
Lithobates_virgatipes,Ranidae,Lithobates,Rana_virgatipes_Ranidae,Semiaquatic,Free-living larvae,Absent,46.73333333,10.96666667,2.21249232,6.833333333
Nidirana_chapaensis,Ranidae,Nidirana,Babina_chapaensis_Ranidae,Semiaquatic,NA,NA,44.7,7.666666667,1.902171814,5.6
Odorrana_hosii,Ranidae,Odorrana,Odorrana_hosii_Ranidae,Semiaquatic,Free-living larvae,Present,76,32.2,3.016109325,10.61666667
Pelophylax_ridibundus,Ranidae,Pelophylax,Pelophylax_ridibundus_Ranidae,Semiaquatic,Free-living larvae,Absent,83.06666667,63.16666667,3.979112312,9.633333333
Rana_amurensis,Ranidae,Rana,Rana_amurensis_Ranidae,Ground-dwelling,Free-living larvae,NA,52.9,10.66666667,2.192940546,6.016666667
Rana_chensinensis,Ranidae,Rana,Rana_chensinensis_Ranidae,Ground-dwelling,Free-living larvae,Absent,57.63333333,18.3,2.584338979,6.733333333
Rana_japonica,Ranidae,Rana,Rana_japonica_Ranidae,Ground-dwelling,Free-living larvae,Absent,60.05,17.5,2.593183105,7.1
Rana_temporaria,Ranidae,Rana,Rana_temporaria_Ranidae,Ground-dwelling,Free-living larvae,Present,68.56,29.96333333,3.099353209,7.568333333
Sylvirana_guentheri,Ranidae,Sylvirana,Sylvirana_guentheri_Ranidae,Semiaquatic,Free-living larvae,NA,65.86666667,21.9,2.73868771,8.5
Kurixalus_odontotarsus,Rhacophoridae,Kurixalus,Kurixalus_odontotarsus_Rhacophoridae,Scansorial,NA,Absent,33.46666667,4,1.587401052,5.316666667
Rhacophorus_dennysi,Rhacophoridae,Rhacophorus,Rhacophorus_dennysi_Rhacophoridae,Scansorial,Free-living larvae,Absent,92.66666667,38.16666667,3.363471549,9.7
Rhinoderma_darwinii,Rhinodermatidae,Rhinoderma,Rhinoderma_darwinii_Rhinodermatidae,Ground-dwelling,No free-living larvae,Absent,27.45,2.5,1.35108531,3.7
Rhinophrynus_dorsalis,Rhinophrynidae,Rhinophrynus,Rhinophrynus_dorsalis_Rhinophrynidae,Fossorial,Free-living larvae,Absent,67.7,51.25,3.706990595,4.075
Scaphiopus_couchii,Scaphiopodidae,Scaphiopus,Scaphiopus_couchii_Scaphiopodidae,Ground-dwelling,Free-living larvae,Present,55.9,18.66666667,2.630826811,8.133333333
Scaphiopus_holbrookii,Scaphiopodidae,Scaphiopus,Scaphiopus_holbrookii_Scaphiopodidae,Ground-dwelling,Free-living larvae,Absent,65.83333333,27.66666667,3.012925111,8.466666667
Spea_bombifrons,Scaphiopodidae,Spea,Spea_bombifrons_Scaphiopodidae,Ground-dwelling,Free-living larvae,Absent,52.825,14.5,2.436882782,7.425
Spea_intermontana,Scaphiopodidae,Spea,Spea_intermontana_Scaphiopodidae,Ground-dwelling,Free-living larvae,Absent,45.6,12.5,2.320381587,6.95
Spea_multiplicata,Scaphiopodidae,Spea,Spea_multiplicata_Scaphiopodidae,Ground-dwelling,Free-living larvae,Absent,48.23333333,13,2.339747258,6.883333333
Sooglossus_sechellensis,Sooglossidae,Sooglossus,Sooglossus_sechellensis_Sooglossidae,Subfossorial,Free-living larvae,Absent,20.66666667,1.033333333,0.99936921,3.45
Telmatobius_culeus,Telmatobiidae,Telmatobius,Telmatobius_culeus_Telmatobiidae,Aquatic,Free-living larvae,Absent,86.82,65.2,3.989967886,8.78
