genus_species,Order,Family,Genus,Species,tiplabel,SVL_mm,Mass_g,rootmass,ED_right_mm,ED_left_mm,eyemean,CD_right_mm,CD_left_mm,cormean,Adult_habitat,Activity_period,Mating_habitat,Life_history,Larval_habitat,Sex_dichromatism
Calyptocephalella_gayi,Anura,Calyptocephalellidae,Calyptocephalella,gayi,Calyptocephalella_gayi_Calyptocephalellidae,144.2,435,7.576984852,13.3,12.6,12.95,9.8,10.1,9.95,Semiaquatic,Both,Lentic water,Free-living larvae,NA,Absent
Ceratophrys_cornuta,Anura,Ceratophryidae,Ceratophrys,cornuta,Ceratophrys_cornuta_Ceratophryidae,98.9,155,5.371685355,11.2,11.3,11.25,8.1,6.2,7.15,Subfossorial,Nocturnal,Lentic water,Free-living larvae,NA,Absent
Ceratophrys_cornuta,Anura,Ceratophryidae,Ceratophrys,cornuta,Ceratophrys_cornuta_Ceratophryidae,74.8,57,3.848501131,12,11.5,11.75,6.5,5.5,6,Subfossorial,Nocturnal,Lentic water,Free-living larvae,NA,Absent
Ceratophrys_cornuta,Anura,Ceratophryidae,Ceratophrys,cornuta,Ceratophrys_cornuta_Ceratophryidae,88.8,122,4.959675664,9.1,9.1,9.1,6.5,5.8,6.15,Subfossorial,Nocturnal,Lentic water,Free-living larvae,NA,Absent
Ceratophrys_ornata,Anura,Ceratophryidae,Ceratophrys,ornata,Ceratophrys_ornata_Ceratophryidae,97.5,161,5.440121825,10,10.6,10.3,7.3,7.6,7.45,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,NA,Absent
Ceratophrys_ornata,Anura,Ceratophryidae,Ceratophrys,ornata,Ceratophrys_ornata_Ceratophryidae,117.8,205,5.89636854,10.6,10.8,10.7,8.4,8.4,8.4,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,NA,Absent
Ceratophrys_ornata,Anura,Ceratophryidae,Ceratophrys,ornata,Ceratophrys_ornata_Ceratophryidae,110.6,164,5.473703675,12.1,10.5,11.3,7.8,7.7,7.75,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,NA,Absent
Chaperina_fusca,Anura,Microhylidae,Chaperina,fusca,Chaperina_fusca_Microhylidae,23.7,1.8,1.216440399,3.1,3.1,3.1,2.4,2.5,2.45,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Chaperina_fusca,Anura,Microhylidae,Chaperina,fusca,Chaperina_fusca_Microhylidae,24,2.1,1.280579165,3.2,3.1,3.15,2.5,2.4,2.45,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Chaperina_fusca,Anura,Microhylidae,Chaperina,fusca,Chaperina_fusca_Microhylidae,20.8,1.5,1.144714243,2.9,2.9,2.9,2.1,2.2,2.15,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Chiasmocleis_albopunctata,Anura,Microhylidae,Chiasmocleis,albopunctata,Chiasmocleis_albopunctata_Microhylidae,24.9,1.2,1.062658569,2.1,2.1,2.1,1.7,1.7,1.7,Subfossorial,Nocturnal,NA,NA,NA,Absent
Chiasmocleis_albopunctata,Anura,Microhylidae,Chiasmocleis,albopunctata,Chiasmocleis_albopunctata_Microhylidae,31.8,2.9,1.426043147,2.3,2.2,2.25,1.7,1.9,1.8,Subfossorial,Nocturnal,NA,NA,NA,Absent
Chiasmocleis_albopunctata,Anura,Microhylidae,Chiasmocleis,albopunctata,Chiasmocleis_albopunctata_Microhylidae,26.7,1.6,1.169607095,2.3,2.2,2.25,1.8,1.5,1.65,Subfossorial,Nocturnal,NA,NA,NA,Absent
Conraua_crassipes,Anura,Conrauidae,Conraua,crassipes,Conraua_crassipes_Conrauidae,52.1,18,2.620741394,7.4,8,7.7,5.8,5.8,5.8,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Conraua_crassipes,Anura,Conrauidae,Conraua,crassipes,Conraua_crassipes_Conrauidae,51.7,14,2.410142264,7.6,7.1,7.35,5.2,5.3,5.25,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Conraua_crassipes,Anura,Conrauidae,Conraua,crassipes,Conraua_crassipes_Conrauidae,62.5,32.1,3.178105751,8.4,7.8,8.1,5.3,5.4,5.35,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Cophixalus_cheesmanae,Anura,Microhylidae,Cophixalus,cheesmanae,Cophixalus_cheesmanae_Microhylidae,28.9,2.7,1.39247665,4,3.9,3.95,3.3,3.4,3.35,Scansorial,Nocturnal,NA,NA,NA,NA
Cophixalus_cheesmanae,Anura,Microhylidae,Cophixalus,cheesmanae,Cophixalus_cheesmanae_Microhylidae,25.8,2,1.25992105,3.6,3.6,3.6,3,3,3,Scansorial,Nocturnal,NA,NA,NA,NA
Cophixalus_cheesmanae,Anura,Microhylidae,Cophixalus,cheesmanae,Cophixalus_cheesmanae_Microhylidae,25.4,2.2,1.300591447,3.6,3.5,3.55,3.1,3.2,3.15,Scansorial,Nocturnal,NA,NA,NA,NA
Cophixalus_neglectus,Anura,Microhylidae,Cophixalus,neglectus,Cophixalus_neglectus_Microhylidae,26.3,2.2,1.300591447,3.5,3.7,3.6,2.7,2.8,2.75,Subfossorial,Nocturnal,Ground,No free-living larvae,No larvae,Absent
Cophixalus_neglectus,Anura,Microhylidae,Cophixalus,neglectus,Cophixalus_neglectus_Microhylidae,18.8,1.2,1.062658569,2.7,2.8,2.75,2,2.2,2.1,Subfossorial,Nocturnal,Ground,No free-living larvae,No larvae,Absent
Cophixalus_neglectus,Anura,Microhylidae,Cophixalus,neglectus,Cophixalus_neglectus_Microhylidae,17.7,1,1,2.7,2.6,2.65,2,2.2,2.1,Subfossorial,Nocturnal,Ground,No free-living larvae,No larvae,Absent
Cophyla_tuberifera,Anura,Microhylidae,Cophyla,tuberifera,Platypelis_tuberifera_Microhylidae,38.8,4.2,1.613428646,5.7,5.4,5.55,4.2,4.1,4.15,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,NA
Cophyla_tuberifera,Anura,Microhylidae,Cophyla,tuberifera,Platypelis_tuberifera_Microhylidae,33.2,3.1,1.458099736,4.6,4.2,4.4,3.5,3.2,3.35,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,NA
Cophyla_tuberifera,Anura,Microhylidae,Cophyla,tuberifera,Platypelis_tuberifera_Microhylidae,32.1,2.5,1.357208808,4.6,4.3,4.45,3.4,3,3.2,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,NA
Cornufer_guppyi,Anura,Ceratobatrachidae,Cornufer,guppyi,Cornufer_guppyi_Ceratobatrachidae,143.8,270,6.46330407,17.4,17.9,17.65,11.9,11.1,11.5,Ground-dwelling,NA,NA,No free-living larvae,No larvae,NA
Cornufer_guppyi,Anura,Ceratobatrachidae,Cornufer,guppyi,Cornufer_guppyi_Ceratobatrachidae,97.7,83,4.362070671,13.5,14.3,13.9,10,9.3,9.65,Ground-dwelling,NA,NA,No free-living larvae,No larvae,NA
Craugastor_fitzingeri,Anura,Craugastoridae,Craugastor,fitzingeri,Craugastor_fitzingeri_Craugastoridae,50.7,11.8,2.276638115,6.2,6,6.1,5.2,5.4,5.3,Scansorial,Nocturnal,Plants,No free-living larvae,No larvae,Absent
Craugastor_fitzingeri,Anura,Craugastoridae,Craugastor,fitzingeri,Craugastor_fitzingeri_Craugastoridae,35.3,3,1.44224957,4.9,4.8,4.85,4.3,4.3,4.3,Scansorial,Nocturnal,Plants,No free-living larvae,No larvae,Absent
Craugastor_fitzingeri,Anura,Craugastoridae,Craugastor,fitzingeri,Craugastor_fitzingeri_Craugastoridae,31.8,3,1.44224957,4.4,4.5,4.45,3.8,4.2,4,Scansorial,Nocturnal,Plants,No free-living larvae,No larvae,Absent
Craugastor_podiciferus,Anura,Craugastoridae,Craugastor,podiciferus,Craugastor_podiciferus_Craugastoridae,28.2,2.4,1.3388659,4.2,3.7,3.95,3,3.1,3.05,Subfossorial,Diurnal,Ground,No free-living larvae,No larvae,Absent
Craugastor_podiciferus,Anura,Craugastoridae,Craugastor,podiciferus,Craugastor_podiciferus_Craugastoridae,28.1,2.8,1.409459746,3.9,4.2,4.05,3.3,3.3,3.3,Subfossorial,Diurnal,Ground,No free-living larvae,No larvae,Absent
Craugastor_podiciferus,Anura,Craugastoridae,Craugastor,podiciferus,Craugastor_podiciferus_Craugastoridae,26.6,1.9,1.23856233,3.7,3.4,3.55,3,3.1,3.05,Subfossorial,Diurnal,Ground,No free-living larvae,No larvae,Absent
Crinia_signifera,Anura,Myobatrachidae,Crinia,signifera,Crinia_signifera_Myobatrachidae,30.2,3,1.44224957,3.7,3.7,3.7,3.2,2.8,3,Ground-dwelling,Nocturnal,NA,Free-living larvae,NA,Absent
Crinia_signifera,Anura,Myobatrachidae,Crinia,signifera,Crinia_signifera_Myobatrachidae,23.5,2,1.25992105,3.2,3.4,3.3,2.5,2.6,2.55,Ground-dwelling,Nocturnal,NA,Free-living larvae,NA,Absent
Crinia_signifera,Anura,Myobatrachidae,Crinia,signifera,Crinia_signifera_Myobatrachidae,22.7,2,1.25992105,3.3,3.3,3.3,2.6,2.5,2.55,Ground-dwelling,Nocturnal,NA,Free-living larvae,NA,Absent
Crinia_signifera,Anura,Myobatrachidae,Crinia,signifera,Crinia_signifera_Myobatrachidae,24.5,2,1.25992105,3.4,3.2,3.3,2.8,2.6,2.7,Ground-dwelling,Nocturnal,NA,Free-living larvae,NA,Absent
Cruziohyla_calcarifer,Anura,Phyllomedusidae,Cruziohyla,calcarifer,Cruziohyla_calcarifer_Hylidae,64.2,12.4,2.314589055,8.6,8.4,8.5,6.1,6.1,6.1,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,Absent
Cryptobatrachus_boulengeri,Anura,Hemiphractidae,Cryptobatrachus,boulengeri,Cryptobatrachus_boulengeri_Hemiphractidae,70.8,38,3.361975407,11.3,11.3,11.3,9,8.3,8.65,Semiaquatic,Nocturnal,NA,No free-living larvae,No larvae,NA
Ctenophryne_aterrima,Anura,Microhylidae,Ctenophryne,aterrima,Ctenophryne_aterrima_Microhylidae,42,7.9,1.991631701,4,3.3,3.65,2.7,2.7,2.7,Subfossorial,Nocturnal,Ground,Free-living larvae,Lentic water,Absent
Ctenophryne_aterrima,Anura,Microhylidae,Ctenophryne,aterrima,Ctenophryne_aterrima_Microhylidae,50.5,12.9,2.345290099,4.2,4.3,4.25,3.1,3.1,3.1,Subfossorial,Nocturnal,Ground,Free-living larvae,Lentic water,Absent
Dendrobates_auratus,Anura,Dendrobatidae,Dendrobates,auratus,Dendrobates_auratus_Dendrobatidae,34.6,3.4,1.503694596,4,4,4,3.2,3.2,3.2,Scansorial,Diurnal,Ground,Free-living larvae,Lentic water,Absent
Dendrobates_auratus,Anura,Dendrobatidae,Dendrobates,auratus,Dendrobates_auratus_Dendrobatidae,25.3,1.7,1.193483192,3.8,3.8,3.8,2.9,3,2.95,Scansorial,Diurnal,Ground,Free-living larvae,Lentic water,Absent
Dendrobates_auratus,Anura,Dendrobatidae,Dendrobates,auratus,Dendrobates_auratus_Dendrobatidae,33.1,3.2,1.473612599,3.7,3.8,3.75,2.9,2.9,2.9,Scansorial,Diurnal,Ground,Free-living larvae,Lentic water,Absent
Dendropsophus_parviceps,Anura,Hylidae,Dendropsophus,parviceps,Dendropsophus_parviceps_Hylidae,22.6,1.1,1.032280115,3.8,3.4,3.6,2.6,2.5,2.55,Scansorial,Nocturnal,Plants,Free-living larvae,Lotic water,Absent
Dendropsophus_parviceps,Anura,Hylidae,Dendropsophus,parviceps,Dendropsophus_parviceps_Hylidae,22.8,1.2,1.062658569,3.5,3.2,3.35,2.5,2.6,2.55,Scansorial,Nocturnal,Plants,Free-living larvae,Lotic water,Absent
Dendropsophus_parviceps,Anura,Hylidae,Dendropsophus,parviceps,Dendropsophus_parviceps_Hylidae,21.9,1.3,1.091392883,4.3,3.5,3.9,2.7,2.9,2.8,Scansorial,Nocturnal,Plants,Free-living larvae,Lotic water,Absent
Dermatonotus_muelleri,Anura,Microhylidae,Dermatonotus,muelleri,Dermatonotus_muelleri_Microhylidae,65.3,33.7,3.230055369,5.6,5,5.3,3.9,4,3.95,Fossorial,Nocturnal,NA,Free-living larvae,Lentic water,Absent
Dermatonotus_muelleri,Anura,Microhylidae,Dermatonotus,muelleri,Dermatonotus_muelleri_Microhylidae,63.2,32.5,3.191252149,5.4,5.1,5.25,3.8,3.9,3.85,Fossorial,Nocturnal,NA,Free-living larvae,Lentic water,Absent
Dermatonotus_muelleri,Anura,Microhylidae,Dermatonotus,muelleri,Dermatonotus_muelleri_Microhylidae,57.9,25.1,2.927911242,4.8,4.9,4.85,3.7,3.5,3.6,Fossorial,Nocturnal,NA,Free-living larvae,Lentic water,Absent
Diasporus_diastema,Anura,Eleutherodactylidae,Diasporus,diastema,Diasporus_diastema_Eleutherodactylidae,16.6,0.9,0.965489385,2.8,2.8,2.8,2.2,2.4,2.3,Scansorial,Nocturnal,Plants,No free-living larvae,No larvae,Absent
Diasporus_diastema,Anura,Eleutherodactylidae,Diasporus,diastema,Diasporus_diastema_Eleutherodactylidae,19.4,1.1,1.032280115,3,3,3,2.6,2.6,2.6,Scansorial,Nocturnal,Plants,No free-living larvae,No larvae,Absent
Diasporus_diastema,Anura,Eleutherodactylidae,Diasporus,diastema,Diasporus_diastema_Eleutherodactylidae,17.7,0.9,0.965489385,3,2.9,2.95,2.8,2.5,2.65,Scansorial,Nocturnal,Plants,No free-living larvae,No larvae,Absent
Discoglossus_pictus,Anura,Alytidae,Discoglossus,pictus,Discoglossus_pictus_Alytidae,73.1,33,3.20753433,8.4,8.1,8.25,7,6.8,6.9,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Discoglossus_pictus,Anura,Alytidae,Discoglossus,pictus,Discoglossus_pictus_Alytidae,63.6,20,2.714417617,7.5,7.4,7.45,6.1,5.8,5.95,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Discoglossus_pictus,Anura,Alytidae,Discoglossus,pictus,Discoglossus_pictus_Alytidae,56.3,23,2.84386698,7.2,6.9,7.05,5.7,5.2,5.45,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Discoglossus_pictus,Anura,Alytidae,Discoglossus,pictus,Discoglossus_pictus_Alytidae,58.5,20,2.714417617,7.6,7.3,7.45,5.7,5.7,5.7,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Discoglossus_pictus,Anura,Alytidae,Discoglossus,pictus,Discoglossus_pictus_Alytidae,61.7,26,2.962496068,7.8,7.3,7.55,5.9,5.6,5.75,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Dryophytes_arenicolor,Anura,Hylidae,Dryophytes,arenicolor,Hyla_arenicolor_Hylidae,25.5,1.6,1.169607095,4.1,4.1,4.1,3.4,3.4,3.4,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Dryophytes_arenicolor,Anura,Hylidae,Dryophytes,arenicolor,Hyla_arenicolor_Hylidae,25,1.4,1.118688942,4,3.9,3.95,2.9,2.8,2.85,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Dryophytes_arenicolor,Anura,Hylidae,Dryophytes,arenicolor,Hyla_arenicolor_Hylidae,42.2,5.3,1.743513401,5.5,NA,5.5,4.8,4.5,4.65,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Dryophytes_cinereus,Anura,Hylidae,Dryophytes,cinereus,Hyla_cinerea_Hylidae,40,4.19,1.612147129,4.6,4.5,4.55,3.4,3.4,3.4,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,Present
Dryophytes_cinereus,Anura,Hylidae,Dryophytes,cinereus,Hyla_cinerea_Hylidae,43.5,5.64,1.780026091,4.6,4.7,4.65,3.8,3.7,3.75,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,Present
Dryophytes_cinereus,Anura,Hylidae,Dryophytes,cinereus,Hyla_cinerea_Hylidae,42.2,4.07,1.596607395,3.9,3.9,3.9,3.4,3.4,3.4,Scansorial,Nocturnal,Plants,Free-living larvae,Lentic water,Present
Duttaphrynus_melanostictus,Anura,Bufonidae,Duttaphrynus,melanostictus,Duttaphrynus_melanostictus_Bufonidae,88.1,56.2,3.830411552,9.2,9.6,9.4,7.2,6.8,7,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lentic water,Absent
Duttaphrynus_melanostictus,Anura,Bufonidae,Duttaphrynus,melanostictus,Duttaphrynus_melanostictus_Bufonidae,60.7,23,2.84386698,7.4,7.5,7.45,5.7,6,5.85,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lentic water,Absent
Duttaphrynus_melanostictus,Anura,Bufonidae,Duttaphrynus,melanostictus,Duttaphrynus_melanostictus_Bufonidae,59.1,24.1,2.888499838,7.8,7.9,7.85,5.2,5.2,5.2,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lentic water,Absent
Duttaphrynus_stomaticus,Anura,Bufonidae,Duttaphrynus,stomaticus,Duttaphrynus_stomaticus_Bufonidae,59.1,23.6,2.868384284,7.1,6.7,6.9,5.1,5.2,5.15,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Present
Duttaphrynus_stomaticus,Anura,Bufonidae,Duttaphrynus,stomaticus,Duttaphrynus_stomaticus_Bufonidae,60.5,22.4,2.818919493,7.2,7.1,7.15,5.2,5.4,5.3,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Present
Duttaphrynus_stomaticus,Anura,Bufonidae,Duttaphrynus,stomaticus,Duttaphrynus_stomaticus_Bufonidae,58.7,22.6,2.827284288,7.4,7.1,7.25,5,5.3,5.15,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Present
Dyscophus_antongilii,Anura,Microhylidae,Dyscophus,antongilii,Dyscophus_antongilii_Microhylidae,84.3,81,4.326748711,11.7,11.6,11.65,8.2,8.6,8.4,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Present
Dyscophus_antongilii,Anura,Microhylidae,Dyscophus,antongilii,Dyscophus_antongilii_Microhylidae,63.7,31.8,3.168174105,8.8,8.6,8.7,6.5,6.5,6.5,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Present
Dyscophus_antongilii,Anura,Microhylidae,Dyscophus,antongilii,Dyscophus_antongilii_Microhylidae,57,21.3,2.771999842,9.1,9,9.05,7.1,6.7,6.9,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Present
Elachistocleis_ovalis,Anura,Microhylidae,Elachistocleis,ovalis,Elachistocleis_ovalis_Microhylidae,32.6,3.8,1.560490751,2.5,2.6,2.55,1.7,1.7,1.7,Subfossorial,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Elachistocleis_ovalis,Anura,Microhylidae,Elachistocleis,ovalis,Elachistocleis_ovalis_Microhylidae,32.9,3.2,1.473612599,2.4,2.4,2.4,1.7,2.1,1.9,Subfossorial,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Elachistocleis_ovalis,Anura,Microhylidae,Elachistocleis,ovalis,Elachistocleis_ovalis_Microhylidae,42.2,5.8,1.796701779,2.8,2.9,2.85,2.1,2,2.05,Subfossorial,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Eleutherodactylus_coqui,Anura,Eleutherodactylidae,Eleutherodactylus,coqui,Eleutherodactylus_coqui_Eleutherodactylidae,30,2.4,1.3388659,4.6,4.5,4.55,3.8,4,3.9,Scansorial,Nocturnal,Plants,No free-living larvae,No larvae,Absent
Eleutherodactylus_coqui,Anura,Eleutherodactylidae,Eleutherodactylus,coqui,Eleutherodactylus_coqui_Eleutherodactylidae,26.1,2.3,1.320006122,4.4,4.2,4.3,3.8,3.8,3.8,Scansorial,Nocturnal,Plants,No free-living larvae,No larvae,Absent
Eleutherodactylus_marnockii,Anura,Eleutherodactylidae,Eleutherodactylus,marnockii,Eleutherodactylus_marnockii_Eleutherodactylidae,25.8,1.3,1.091392883,3.6,3.5,3.55,2.9,3.2,3.05,Ground-dwelling,Nocturnal,Ground,No free-living larvae,No larvae,Absent
Eleutherodactylus_marnockii,Anura,Eleutherodactylidae,Eleutherodactylus,marnockii,Eleutherodactylus_marnockii_Eleutherodactylidae,21.8,0.9,0.965489385,3.5,3.5,3.5,2.9,2.9,2.9,Ground-dwelling,Nocturnal,Ground,No free-living larvae,No larvae,Absent
Eleutherodactylus_marnockii,Anura,Eleutherodactylidae,Eleutherodactylus,marnockii,Eleutherodactylus_marnockii_Eleutherodactylidae,18,0.5,0.793700526,2.7,2.8,2.75,2.5,2.5,2.5,Ground-dwelling,Nocturnal,Ground,No free-living larvae,No larvae,Absent
Eleutherodactylus_planirostris,Anura,Eleutherodactylidae,Eleutherodactylus,planirostris,Eleutherodactylus_planirostris_Eleutherodactylidae,22.2,1.2,1.062658569,3,3.1,3.05,2.8,2.8,2.8,Ground-dwelling,Nocturnal,Ground,No free-living larvae,No larvae,Absent
Eleutherodactylus_planirostris,Anura,Eleutherodactylidae,Eleutherodactylus,planirostris,Eleutherodactylus_planirostris_Eleutherodactylidae,20.7,1.2,1.062658569,3,3.1,3.05,2.8,2.8,2.8,Ground-dwelling,Nocturnal,Ground,No free-living larvae,No larvae,Absent
Eleutherodactylus_planirostris,Anura,Eleutherodactylidae,Eleutherodactylus,planirostris,Eleutherodactylus_planirostris_Eleutherodactylidae,22.6,1.3,1.091392883,3.1,3.1,3.1,2.7,2.7,2.7,Ground-dwelling,Nocturnal,Ground,No free-living larvae,No larvae,Absent
Engystomops_pustulosus,Anura,Leptodactylidae,Engystomops,pustulosus,Physalaemus_pustulosus_Leptodactylidae,30.8,3.6,1.532618865,3.9,3.8,3.85,3,2.9,2.95,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Engystomops_pustulosus,Anura,Leptodactylidae,Engystomops,pustulosus,Physalaemus_pustulosus_Leptodactylidae,28.1,2.2,1.300591447,3.4,3.5,3.45,3,2.9,2.95,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Engystomops_pustulosus,Anura,Leptodactylidae,Engystomops,pustulosus,Physalaemus_pustulosus_Leptodactylidae,29.1,2.1,1.280579165,3.5,3.4,3.45,2.6,2.7,2.65,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Epidalea_calamita,Anura,Bufonidae,Epidalea,calamita,Epidalea_calamita_Bufonidae,52.9,15.9,2.514581454,7.2,7.1,7.15,4.8,4.6,4.7,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Epidalea_calamita,Anura,Bufonidae,Epidalea,calamita,Epidalea_calamita_Bufonidae,60.6,22.2,2.810504758,8,8.2,8.1,5.5,5.8,5.65,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Epidalea_calamita,Anura,Bufonidae,Epidalea,calamita,Epidalea_calamita_Bufonidae,58.7,22.5,2.823108087,8.5,8.4,8.45,5.6,5.7,5.65,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Absent
Espadarana_prosoblepon,Anura,Centrolenidae,Espadarana,prosoblepon,Espadarana_prosoblepon_Centrolenidae,25.1,0.8,0.928317767,3.8,3.8,3.8,2.8,2.5,2.65,Scansorial,Nocturnal,Plants,Free-living larvae,Lotic water,Absent
Espadarana_prosoblepon,Anura,Centrolenidae,Espadarana,prosoblepon,Espadarana_prosoblepon_Centrolenidae,24.3,0.8,0.928317767,3.9,3.8,3.85,2.8,2.9,2.85,Scansorial,Nocturnal,Plants,Free-living larvae,Lotic water,Absent
Espadarana_prosoblepon,Anura,Centrolenidae,Espadarana,prosoblepon,Espadarana_prosoblepon_Centrolenidae,23.7,0.7,0.887904002,3.6,3.5,3.55,2.8,2.6,2.7,Scansorial,Nocturnal,Plants,Free-living larvae,Lotic water,Absent
Euphlyctis_cyanophlyctis,Anura,Dicroglossidae,Euphlyctis,cyanophlyctis,Euphlyctis_cyanophlyctis_Dicroglossidae,53.6,16.3,2.535493694,6.5,6.3,6.4,4.8,4.3,4.55,Semiaquatic,Both,Lentic water,Free-living larvae,Lentic water,Absent
Euphlyctis_cyanophlyctis,Anura,Dicroglossidae,Euphlyctis,cyanophlyctis,Euphlyctis_cyanophlyctis_Dicroglossidae,45.7,10.5,2.18975957,6,5.8,5.9,4.2,4.1,4.15,Semiaquatic,Both,Lentic water,Free-living larvae,Lentic water,Absent
Euphlyctis_cyanophlyctis,Anura,Dicroglossidae,Euphlyctis,cyanophlyctis,Euphlyctis_cyanophlyctis_Dicroglossidae,46.8,11.5,2.257178718,6,4.3,5.15,6,4.3,5.15,Semiaquatic,Both,Lentic water,Free-living larvae,Lentic water,Absent
Eupsophus_roseus,Anura,Alsodidae,Eupsophus,roseus,Eupsophus_roseus_Alsodidae,38.5,8,2,5.4,5.1,5.25,4.1,4.3,4.2,Ground-dwelling,NA,Lentic water,Free-living larvae,Lentic water,Absent
Eupsophus_roseus,Anura,Alsodidae,Eupsophus,roseus,Eupsophus_roseus_Alsodidae,44.8,12,2.289428485,6.4,6.5,6.45,5.3,5.2,5.25,Ground-dwelling,NA,Lentic water,Free-living larvae,Lentic water,Absent
Eupsophus_roseus,Anura,Alsodidae,Eupsophus,roseus,Eupsophus_roseus_Alsodidae,34,5,1.709975947,4.8,4.8,4.8,3.8,3.6,3.7,Ground-dwelling,NA,Lentic water,Free-living larvae,Lentic water,Absent
Eupsophus_roseus,Anura,Alsodidae,Eupsophus,roseus,Eupsophus_roseus_Alsodidae,36.2,5,1.709975947,5.1,4.8,4.95,4.1,4.3,4.2,Ground-dwelling,NA,Lentic water,Free-living larvae,Lentic water,Absent
Fejervarya_limnocharis,Anura,Dicroglossidae,Fejervarya,limnocharis,Fejervarya_limnocharis_Dicroglossidae,48.4,7.4,1.94869516,6.1,6,6.05,4.8,5.1,4.95,Semiaquatic,NA,Lentic water,Free-living larvae,Lentic water,Absent
Fejervarya_limnocharis,Anura,Dicroglossidae,Fejervarya,limnocharis,Fejervarya_limnocharis_Dicroglossidae,48.8,8.1,2.00829885,6.1,6,6.05,5,4.8,4.9,Semiaquatic,NA,Lentic water,Free-living larvae,Lentic water,Absent
Fejervarya_limnocharis,Anura,Dicroglossidae,Fejervarya,limnocharis,Fejervarya_limnocharis_Dicroglossidae,44.7,8.3,2.024693852,6.3,6.2,6.25,4.6,5.2,4.9,Semiaquatic,NA,Lentic water,Free-living larvae,Lentic water,Absent
Flectonotus_fitzgeraldi,Anura,Hemiphractidae,Flectonotus,fitzgeraldi,Flectonotus_fitzgeraldi_Hemiphractidae,21.4,0.7,0.887904002,3.6,3.5,3.55,3.1,3,3.05,Scansorial,Nocturnal,NA,Free-living larvae,Lentic water,Absent
Flectonotus_fitzgeraldi,Anura,Hemiphractidae,Flectonotus,fitzgeraldi,Flectonotus_fitzgeraldi_Hemiphractidae,19.2,0.6,0.843432665,3.7,3.6,3.65,3,2.9,2.95,Scansorial,Nocturnal,NA,Free-living larvae,Lentic water,Absent
Flectonotus_fitzgeraldi,Anura,Hemiphractidae,Flectonotus,fitzgeraldi,Flectonotus_fitzgeraldi_Hemiphractidae,22.9,0.8,0.928317767,3.9,3.8,3.85,3,2.6,2.8,Scansorial,Nocturnal,NA,Free-living larvae,Lentic water,Absent
Gastrophryne_carolinensis,Anura,Microhylidae,Gastrophryne,carolinensis,Gastrophryne_carolinensis_Microhylidae,16.7,NA,NA,1.9,2,1.95,1.6,1.6,1.6,Subfossorial,Nocturnal,Lentic water,Free-living larvae,Lentic water,Present
