genus_species,Order,Family,Genus,Species,tiplabel,SVL_mm,Mass_g,rootmass,ED_right_mm,ED_left_mm,eyemean,CD_right_mm,CD_left_mm,cormean,Adult_habitat,Activity_period,Mating_habitat,Life_history,Larval_habitat,Sex_dichromatism
Altiphrynoides_osgoodi,Anura,Bufonidae,Altiphrynoides,osgoodi,Altiphrynoides_osgoodi_Bufonidae,48,9.7,2.132671236,5.1,4.8,4.95,3.7,3.8,3.75,Ground-dwelling,Nocturnal,Ground,Free-living larvae,Lentic water,Absent
Altiphrynoides_osgoodi,Anura,Bufonidae,Altiphrynoides,osgoodi,Altiphrynoides_osgoodi_Bufonidae,47.4,9.9,2.147229169,5,4.7,4.85,4,3.5,3.75,Ground-dwelling,Nocturnal,Ground,Free-living larvae,Lentic water,Absent
Altiphrynoides_osgoodi,Anura,Bufonidae,Altiphrynoides,osgoodi,Altiphrynoides_osgoodi_Bufonidae,35.1,4.6,1.663103499,4.2,3.8,4,3.2,3.4,3.3,Ground-dwelling,Nocturnal,Ground,Free-living larvae,Lentic water,Absent
Alytes_obstetricans,Anura,Alytidae,Alytes,obstetricans,Alytes_obstetricans_Alytidae,35.6,6,1.817120593,6.6,6.1,6.35,4.4,4.7,4.55,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lentic water,Absent
Alytes_obstetricans,Anura,Alytidae,Alytes,obstetricans,Alytes_obstetricans_Alytidae,35.5,5,1.709975947,5.1,5.8,5.45,4.1,4.5,4.3,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lentic water,Absent
Alytes_obstetricans,Anura,Alytidae,Alytes,obstetricans,Alytes_obstetricans_Alytidae,41.3,9,2.080083823,7.3,7.3,7.3,5.4,5.7,5.55,Ground-dwelling,Nocturnal,Lotic water,Free-living larvae,Lentic water,Absent
Amietia_angolensis,Anura,Pyxicephalidae,Amietia,angolensis,Amietia_angolensis_Pyxicephalidae,74.8,35.1,3.274178649,9.4,9.1,9.25,7.3,7.3,7.3,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Amietia_angolensis,Anura,Pyxicephalidae,Amietia,angolensis,Amietia_angolensis_Pyxicephalidae,70.7,33.9,3.236432592,9.5,8.3,8.9,6.5,6.6,6.55,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Amietia_angolensis,Anura,Pyxicephalidae,Amietia,angolensis,Amietia_angolensis_Pyxicephalidae,71.1,30.5,3.124399885,7.7,8.6,8.15,7,6.6,6.8,Semiaquatic,Nocturnal,Lotic water,Free-living larvae,Lotic water,Absent
Amolops_ricketti,Anura,Ranidae,Amolops,ricketti,Amolops_ricketti_Ranidae,46,9.8,2.139974961,6.3,6.1,6.2,4.9,5.3,5.1,Semiaquatic,Both,Lotic water,Free-living larvae,Lotic water,Absent
